user_name	user_friends
Abhijeet Kulkarni	733
"Vikas Krishan was hoping for a much better outing in his third Olympics appearance buÉ?? https://t.co/EG4CX88mKf"""	2
G a l i l e o ??™ ?ü¶ ?ü™ ??¶	823
?ù?Æ?ù???ù???ù???ù???ù?è ?ù?˙?ù???ù???ù??	6495
"#AUSvSWE #Tokyo2020 #TokyoTogether #GoAustralia #Olympics https://t.co/NDSNyx485y"""	1
Anirban Paul	607
nay_meagen	732
VISHWA SAMVAD KENDRAM	735
Bishoy Bassilious	3628
"#Handball #Tokyo2020 #Olympics"""	0
RC SAINI ????????	1294
"Congratulations https://t.co/Sg7iHST1Uq"""	0
Chirag Thakor CB__#GKTS	192
" #IndiaÉ?? https://t.co/GFGg101biE"""	1
TAR	330
"#Olympics #Tokyo2020"""	0
Abhijeet Rao ????????	4705
Ashish kumar	77
"???ê???ê???ê???ê???è???èÉ?? https://t.co/jZyuoR5lXF"""	0
Mutwiri Mutuota	705
Mukesh Srivastwa	466
Rappler Sports	147
Farzan Patel	376
"#Tokyo2020 #Boxing #TeamIndia"""	0
Wokeflix	847
" @mirabai_chanu #Weightlifting #Tokyo2020 #Olympics #MirabaiChanu https://t.co/lo0Vu629X4"""	0
Sportify-GlutenFree	1619
"Weightlifter #MirabaiChanu wins India's first medal @É?? https://t.co/CNQtYTXXwW"""	0
Mayank Chawla	593
INQUIRER Sports	522
Pulkit Puri	58
"#Tokyo2020 #TokyoOlympics"""	0
Rajesh Ranjan	628
"Disastrous start to our #Boxing campaign at #Tokyo2020."""	1
Mind Wars	13
"#MirabaiChanu has made the country proud by using the strength inÉ?? https://t.co/488P3tQS9Z"""	0
The Field	602
"Vikas Krishan loses his 69kg opening round bout. Okazawa takes it by unanimous decisiÉ?? https://t.co/ffsvl92kFM"""	1
PLEASE GET VACCINATED????	2160
Chelsea in Pidgin	347
"She don become Australia women all time leading goalscorer for Olympics hiÉ?? https://t.co/RC1y1gyYjm"""	0
W	253
Jude	578
"???? Indoor CliÉ?? https://t.co/G9DLbZT6MP"""	0
Matthew Rimmer	18550
One Sports	584
" #Tokyo2020 https://t.co/C9o7xMMXZo"""	3
Gamze G?¨ler	163
"#Tokyo2020?ˇ#yéÒldéÒzcocuklar"""	0
siddhesh kudtarkar	87
Alexander Grant	444
"#Tokyo2020"""	0
Roehl Sybing	750
Bill Callaghan	956
Vignesh Kumar	1381
"#Tokyo2020"""	0
Femi Ogundipe	1931
Giarc Nibisna ???˝???????ß	318
"Comeback strongerÉ?? https://t.co/n9H0VdFlNb"""	0
Gerald Clarke	803
malgosia skawinski.	3380
Tensor Romo	720
#Tokyo2020	436
"This is Japan's first gold medal of #Tokyo2020É?? https://t.co/5zS6p0uBoe"""	138
RamChandra Valmiki	381
"#Tokyo2020"""	0
European Gymnastics	377
"#Tokyo2020 https://t.co/Bp67jBe3xR"""	3
Dhanji Jewels	4
"#Tokyo2020 #TokyoOlympics2021 https://t.co/wHjhmxkf0x"""	0
Bhart singh	281
"#Tokyo2020 #TokyoOlympics #OlympicGames"""	0
E. Coronel ???????˙ ??èÅ	566
"UPDATE 1 https://t.co/raUekvQtZX"""	0
Fithh!	124
Bani Adam	63
ormiga	4979
Presto Chango	261
Mete Sohtaoé?lu	3450
"???? https://t.co/YBegjywHSP"""	1
Olly Offord	1421
Jowi Tv	143
"#JobAlert #Finance #Tokyo2020É?? https://t.co/QrWH0ohVwn"""	0
???? Kate Marie ????	1346
????Leah Gilkes????	679
Dr! RK Crosby	1427
Bhopal Airport	137
Karthik K	295
National Thoughts	169
Our first medal at the #Tokyo2020 	Twitter Web App
Courier Mail Sport	348
"Follow #Tokyo2020 LIVE: https://t.co/lrM7JHHvQ6 https://t.co/Silj5FNQff"""	0
Richard Lusmore	1987
Refrain	25
ImmortalÉ?ˇã?è	100
"Last year's         This year https://t.co/t3ELSY8m30"""	0
Telegraph Sport	1627
Sportoraid Culture	137
"#Tokyo2020 #boxing #Olympics"""	0
Kate Pattison	1376
Salman Khan Fc Bihar	14
"""""É?? https://t.co/I4O6dJF3ia"""	5
Joe Prince-Wright	724
Ertz	['USWNT']
Amir Zuhair Zulkefly ??	705
Rob Weaver	1886
Pakistan Olympic Association	52
"#tokyo2020  |É?? https://t.co/SAltEQrmDc"""	0
