user_name	user_verified
Satyendra Tripathi	TRUE
International Hockey Federation	TRUE
Sportskeeda India	TRUE
Nick Gullon	TRUE
FIBA3x3 É?≠ã?è #3x3 #Tokyo2020	TRUE
Sportskeeda India	TRUE
Basketball Australia	TRUE
UEFA WomenÉ??s Champions League	TRUE
ABC SPORT	TRUE
Bernie Coen	TRUE
RT?? Sport	TRUE
Doordarshan Sports	TRUE
INQUIRER Sports	TRUE
Carly Adno	TRUE
Fabio Fognini	TRUE
JSW Sports	TRUE
Rappler	TRUE
Rappler Sports	TRUE
Shylaja Varma	TRUE
OLUPOT NATHAN ERNEST	TRUE
AllForXI	TRUE
CricTracker	TRUE
SuperSport Blitz	TRUE
Urvashi Dholakia	TRUE
Sky Bet #RequestABet	TRUE
Ninong Ering ????????	TRUE
UCI	TRUE
Indy Sport	TRUE
The FEI	TRUE
Melissa Hoyer	TRUE
Sportskeeda India	TRUE
Doordarshan Sports	TRUE
Sportsbet.com.au	TRUE
BOXRAW	TRUE
BBC Sport	TRUE
FOX Sports Asia	TRUE
The Advertiser Sport	TRUE
BBC Sport	TRUE
Ryan Daniels	TRUE
RT??	TRUE
Saru Maini	TRUE
Sophie Smith	TRUE
Owuraku Ampofo	TRUE
ABC SPORT	TRUE
FIBA3x3 É?≠ã?è #3x3 #Tokyo2020	TRUE
ZEE5 News	TRUE
The FEI	TRUE
Daily Mail U.K.	TRUE
Westfield W-League	TRUE
Christian Klaue	TRUE
Philip Dalidakis	TRUE
Udaipur Airport	TRUE
@zoomtv	TRUE
Indian Sports Honours	TRUE
The Times Of India	TRUE
Sportsbet.com.au	TRUE
PIB in Chandigarh	TRUE
VBET News	TRUE
British Swimming	TRUE
The Independent	TRUE
PBL India	TRUE
Grace Gill	TRUE
Daniel Garb	TRUE
Ministry of Tourism	TRUE
The Age Sport	TRUE
Alexander Grant	TRUE
Athlete365	TRUE
Manchester City	TRUE
PIB in Chhattisgarh	TRUE
Firstpost Sports	TRUE
sportsfile	TRUE
Ian Parker	TRUE
Swim England	TRUE
International Hockey Federation	TRUE
Jarni Blakkarly	TRUE
Great Britain Hockey	TRUE
NDTV Sports	TRUE
RAHUL SRIVASTAV	TRUE
Joanne Ryan MP	TRUE
Kayhan Life	TRUE
Sportsbet.com.au	TRUE
Alexander Grant	TRUE
tv9gujarati	TRUE
ABC News	TRUE
James Mottershead	TRUE
Courier Mail Sport	TRUE
FIE	TRUE
The Field	TRUE
Daily Mail Online	TRUE
Georgie Frost Éù?ã?è	TRUE
Ajax Vrouwen	TRUE
Melinda Farrell	TRUE
Greg Beacham	TRUE
Team GB	TRUE
Athan Tashobya	TRUE
Great Britain Hockey	TRUE
Karishma Singh	TRUE
Tim Michell	TRUE
Jagat Prakash Nadda	TRUE
Cycling Canada	TRUE
Dan Orlowitz	TRUE
International Hockey Federation	TRUE
Novak Djokovic	TRUE
Samsung Mobile Kenya	TRUE
Sophie Smith	TRUE
Boxing Federation	TRUE
David Mbewa	TRUE
Ian Parker	TRUE
Yogita Bhayana Ö??Öù?Ö??Ö?®Ö??Ö?? Ö??Ö??Ö??Ö??Ö??	TRUE
Filmymantra.com	TRUE
Dr. Anil Jain	TRUE
Ria Burrage-Male	TRUE
The Age	TRUE
Sweta Goswami	TRUE
Tom Edwards	TRUE
Adam Catterall	TRUE
Bailey Patrick	TRUE
Telegraph Sport	TRUE
Rahul Rawat	TRUE
Ultimate Table Tennis	TRUE
Duke WomenÉ??s Basketball	TRUE
Sophie Smith	TRUE
SRL Diagnostics	TRUE
